name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
HD 156279 b,Confirmed,,0.66,0.66,9.71,0.66,0.66,,
HD 156279 c,Confirmed,9.75,0.605,1.319,8.6,0.55,0.55,,
HD 156411 b,Confirmed,,0.04,0.05,0.74,0.04,0.05,,
HD 156668 b,Confirmed,,0.0018,0.0018,0.0131,0.0018,0.0018,,
HD 156668 c,Confirmed,,0.008,0.007,0.099,0.008,0.007,,
HD 156846 Ab,Confirmed,10.45,0.05,0.05,,,,,
HD 157172 Ab,Confirmed,,,,0.12,,,,
HD 158038 Ab,Confirmed,,0.2,0.2,1.8,0.2,0.2,,
HD 158259 b,Confirmed,,0.00142,0.00123,0.00698,0.00142,0.00123,0.107,0.116
HD 158259 c,Confirmed,,0.00186,0.0019,0.01762,0.00186,0.0019,,
HD 158259 d,Confirmed,,0.00223,0.00233,0.01702,0.00223,0.00233,,
HD 158259 e,Confirmed,,0.00324,0.00296,0.01913,0.00324,0.00296,,
HD 158259 f,Confirmed,,0.00431,0.00412,0.01932,0.00431,0.00412,,
HD 15906 b,Confirmed,,,,,,,0.1998,0.0071
HD 15906 c,Confirmed,,,,,,,0.2614,0.0054
HD 159243 b,Confirmed,,0.05,0.05,1.13,0.05,0.05,,
HD 159243 c,Confirmed,,0.13,0.13,1.9,0.13,0.13,,
HD 159868 b,Confirmed,,0.0591,0.0591,2.218,0.0591,0.0591,1.202,
HD 159868 c,Confirmed,,0.044,0.044,0.768,0.044,0.044,1.269,
HD 1605 b,Confirmed,,0.04,0.06,0.96,0.04,0.06,,
HD 1605 c,Confirmed,,0.11,0.13,3.48,0.11,0.13,,
HD 161178 b,Confirmed,,0.16,0.02,0.57,0.16,0.02,,
HD 16175 b,Confirmed,,0.37,0.37,4.77,0.37,0.37,,
HD 163607 b,Confirmed,,0.0098,0.0098,0.7836,0.0098,0.0098,1.269,
HD 163607 c,Confirmed,,0.037,0.037,2.201,0.037,0.037,1.202,
HD 164428 b,Confirmed,,1.3,1.3,5.7,1.3,1.3,,
HD 164509 Ab,Confirmed,,0.02,0.03,0.47,0.02,0.03,,
HD 164595 Ab,Confirmed,,0.00856,0.00856,0.0516,0.00856,0.00856,,
HD 164922 b,Confirmed,,0.038,0.031,0.365,0.038,0.031,,
HD 164922 c,Confirmed,,0.006,0.009,0.041,0.006,0.009,,
HD 164922 d,Confirmed,,0.0031,0.0031,0.0331,0.0031,0.0031,,
HD 164922 e,Confirmed,,0.00311,0.00311,0.0331,0.00311,0.00311,,
HD 165155 b,Confirmed,,0.23,0.23,2.89,0.23,0.23,,
HD 1666 Ab,Confirmed,,0.22,0.31,6.43,0.22,0.31,,
HD 166724 b,Confirmed,,0.11,0.11,3.53,0.11,0.11,,
HD 167042 b,Confirmed,,,,1.6,,,,
HD 167677 b,Confirmed,2.85,1.0,1.0,,,,,
HD 167768 b,Confirmed,,0.12,0.12,0.85,0.12,0.12,,
HD 168009 b,Confirmed,,0.0038,0.0038,0.0299,0.0038,0.0038,,
HD 168443 b,Confirmed,,0.0975,0.0975,7.659,0.0975,0.0975,,
HD 168746 b,Confirmed,,,,0.23,,,,
HD 168863 b,Confirmed,6.78,1.096,1.114,,,,,
HD 16905 Ab,Confirmed,9.065,1.41,1.31,,,,,
HD 1690 b,Confirmed,,0.9,0.9,6.1,0.9,0.9,,
HD 169142 b,Confirmed,3.0,2.0,2.0,,,,,
HD 169830 b,Confirmed,,,,2.88,,,,
HD 169830 c,Confirmed,,,,4.04,,,,
HD 170469 Ab,Confirmed,,,,0.67,,,,
HD 17092 b,Confirmed,,0.3,0.3,4.6,0.3,0.3,,
HD 171028 b,Confirmed,,,,1.98,,,,
HD 171238 b,Confirmed,,0.15,0.15,2.6,0.15,0.15,,
HD 17156 b,Confirmed,3.195,0.034,0.034,3.191,0.033,0.033,1.095,0.02
HD 173416 b,Confirmed,,0.3,0.3,2.7,0.3,0.3,,
HD 174205 b,Confirmed,,0.5,0.5,4.2,0.5,0.5,,
HD 175167 b,Confirmed,10.2,0.4,0.4,7.8,3.5,3.5,,
HD 175370 b,Confirmed,,1.0,1.0,4.6,1.0,1.0,,
HD 175541 b,Confirmed,,,,0.61,,,,
HD 175607 b,Confirmed,,0.0035,0.0035,0.0283,0.0035,0.0035,,
HD 176051 Bb,Confirmed,1.5,0.3,0.3,,,,,
HD 17674 b,Confirmed,,0.06,0.07,0.87,0.06,0.07,,
HD 176986 b,Confirmed,,0.0021,0.0021,0.0181,0.0021,0.0021,,
HD 176986 c,Confirmed,,0.0031,0.0031,0.0289,0.0031,0.0031,,
HD 177830 Ab,Confirmed,,0.03,0.03,1.49,0.03,0.03,,
HD 177830 Ac,Confirmed,,0.03,0.03,0.15,0.03,0.03,,
HD 178911 Bb,Confirmed,,0.059,0.059,6.292,0.059,0.059,,
